at1,at2,at3,at4,at5,at6,at7,at8,target
0,1289,906,383,0,1,0,3,1
0,1168,1424,-256,0,1,0,3,0
0,1266,1018,248,0,1,0,3,1
0,1332,1124,208,0,1,0,3,1
1,1348,852,496,0,1,0,3,1
0,1418,1307,111,0,1,0,3,1
0,1355,1459,-104,0,1,0,3,0
1,1335,1668,-333,0,1,0,3,0
0,1428,1609,-181,0,1,0,3,1
0,1465,1318,147,0,1,0,3,1
1,1513,1485,28,0,1,0,3,1
1,1560,1558,2,0,1,0,3,1
0,1583,1272,311,0,1,0,3,1
1,1596,1330,266,0,1,0,3,1
1,1601,1112,489,0,1,0,3,1
0,1555,1435,120,0,1,0,3,0
0,1567,1296,271,0,1,0,1,1
0,1544,1638,-94,0,1,0,3,0
0,1571,1545,26,0,1,0,3,1
0,1596,1562,34,0,1,0,3,1
0,1608,1391,217,0,1,0,3,1
1,1614,1151,463,0,1,0,3,1
1,1630,1498,132,0,1,0,3,1
1,1646,1530,116,0,1,0,3,1
0,1647,945,702,0,1,0,3,1
1,1654,1341,313,0,1,0,3,1
0,1660,1660,0,0,1,0,5,1
1,1674,1538,136,0,1,0,3,1
1,1649,1589,60,0,1,0,3,0
1,1632,1687,-55,0,1,0,3,0
1,1655,1733,-78,0,1,0,3,1
1,1639,1708,-69,0,1,0,3,0
1,1645,1315,330,0,1,0,3,1
0,1659,1581,78,0,1,0,3,1
1,1649,1812,-163,0,1,0,3,0
1,1660,1535,125,0,1,0,3,1
0,1679,1731,-52,0,1,0,3,1
1,1688,1518,170,0,1,0,3,1
0,1668,1585,83,0,1,0,3,0
1,1650,1608,42,0,1,0,3,0
1,1633,1621,12,0,1,0,3,0
0,1640,1409,231,0,1,0,3,1
1,1646,1402,244,0,1,0,3,1
0,1623,1449,174,0,1,0,3,0
1,1633,1491,142,0,1,0,3,1
1,1648,1618,30,0,1,0,3,1
1,1634,1660,-26,0,1,0,7,0
0,1640,1392,248,0,1,0,3,1
1,1626,1644,-18,0,1,0,3,0
0,1618,1797,-179,0,1,0,3,0
0,1630,1585,45,0,1,0,3,1
1,1636,1404,232,0,1,0,3,1
0,1648,1600,48,0,1,0,3,1
0,1636,1649,-13,0,1,0,3,0
1,1643,1386,257,0,1,0,5,1
0,1651,1427,224,0,1,0,3,1
0,1636,1691,-55,0,1,0,3,0
1,1628,1844,-216,0,1,0,3,0
0,1645,1706,-61,0,1,0,3,1
1,1650,1371,279,0,1,0,7,1
1,1658,1478,180,0,1,0,3,1
1,1646,1720,-74,0,1,0,3,0
0,1649,1271,378,0,1,0,3,1
1,1668,1702,-34,0,1,0,3,1
0,1685,1671,14,0,1,0,3,1
0,1670,1706,-36,0,1,0,3,0
1,1660,1789,-129,0,1,0,3,0
0,1673,1626,47,0,1,0,5,1
0,1684,1602,82,0,1,0,3,1
0,1671,1720,-49,0,1,0,3,0
0,1663,1874,-211,0,1,0,3,0
1,1656,1890,-234,0,1,0,3,0
0,1646,1788,-142,0,1,0,3,0
0,1634,1724,-90,0,1,0,3,0
1,1623,1722,-99,0,1,0,3,0
1,1619,1959,-340,0,1,0,3,0
0,1638,1710,-72,0,1,0,3,1
1,1626,1726,-100,0,1,0,3,0
0,1618,1832,-214,0,1,0,3,0
0,1631,1570,61,0,1,0,3,1
1,1643,1544,99,0,1,0,3,1
1,1630,1702,-72,0,1,0,3,0
1,1617,1699,-82,0,1,0,3,0
1,1606,1718,-112,0,1,0,3,0
0,1600,1851,-251,0,1,0,3,0
1,1585,1590,-5,0,1,0,3,0
0,1572,1625,-53,0,1,0,3,0
1,1561,1662,-101,0,1,0,1,0
1,1556,1869,-313,0,1,0,3,0
0,1548,1758,-210,0,1,0,3,0
0,1564,1576,-12,0,1,0,3,1
1,1560,1881,-321,0,1,0,3,0
1,1547,1618,-71,0,1,0,3,0
1,1540,1784,-244,0,1,0,3,0
1,1563,1561,2,0,1,0,3,1
0,1580,1588,-8,0,1,0,3,1
0,1567,1647,-80,0,1,0,3,0
0,1588,1704,-116,0,1,0,3,1
1,1576,1670,-94,0,1,0,3,0
0,1595,1678,-83,0,1,0,3,1
0,1584,1681,-97,0,1,0,3,0
0,1599,1592,7,0,1,0,3,1
0,1593,1741,-148,0,1,0,3,0
0,1610,1604,6,0,1,0,3,1
1,1623,1520,103,0,1,0,3,1
1,1611,1747,-136,0,1,0,3,0
0,1630,1610,20,0,1,0,3,1
1,1644,1533,111,0,1,0,3,1
0,1662,1620,42,0,1,0,3,1
1,1678,1601,77,0,1,0,3,1
0,1690,1547,143,0,1,0,3,1
0,1678,1820,-142,0,1,0,3,0
1,1686,1453,233,0,1,0,5,1
0,1695,1492,203,0,1,0,3,1
0,1677,1686,-9,0,1,0,3,0
1,1683,1377,306,0,1,0,3,1
1,1703,1752,-49,0,1,0,3,1
1,1692,1821,-129,0,1,0,3,0
0,1686,1823,-137,0,1,0,3,0
1,1673,1811,-138,0,1,0,3,0
0,1666,1920,-254,0,1,0,3,0
1,1684,1672,12,0,1,0,3,1
1,1667,1681,-14,0,1,0,3,0
0,1678,1536,142,0,1,0,3,1
1,1670,1885,-215,0,1,0,3,0
0,1687,1700,-13,0,1,0,3,1
1,1698,1583,115,0,1,0,3,1
0,1712,1631,81,0,1,0,1,1
1,1712,1163,549,0,0,1,1,1
1,1712,1401,311,0,0,1,1,1
0,1712,1401,311,0,0,1,1,1
0,1712,1163,549,0,0,1,1,1
0,1712,1602,110,0,1,0,3,1
0,1714,1238,476,0,0,1,1,1
1,1700,1793,-93,0,0,1,1,0
1,1705,1385,320,0,1,0,3,1
0,1693,1819,-126,0,0,1,1,0
0,1685,1906,-221,0,1,0,3,0
1,1688,1284,404,0,0,1,1,1
0,1704,1668,36,0,1,0,3,1
0,1720,1711,9,0,1,0,3,1
0,1710,1868,-158,0,1,0,1,0
1,1703,1936,-233,0,1,0,3,0
0,1707,1392,315,0,1,0,3,1
0,1720,1659,61,0,1,0,3,1
0,1705,1724,-19,0,1,0,3,0
1,1708,1303,405,0,0,1,1,1
0,1711,1300,411,0,0,1,1,1
0,1696,1750,-54,0,1,0,3,0
0,1689,1929,-240,0,1,0,3,0
1,1695,1449,246,0,1,0,3,1
1,1684,1787,-103,0,1,0,3,0
1,1698,1672,26,0,1,0,3,1
0,1690,1864,-174,0,1,0,3,0
0,1684,1924,-240,0,1,0,3,0
1,1674,1793,-119,0,1,0,3,0
1,1679,1392,287,0,1,0,3,1
0,1684,1412,272,0,1,0,3,1
0,1700,1696,4,0,1,0,3,1
1,1711,1581,130,0,0,1,1,1
0,1720,1554,166,0,0,1,1,1
1,1731,1634,97,0,1,0,3,1
0,1717,1748,-31,0,1,0,3,0
0,1707,1839,-132,0,1,0,3,0
1,1696,1816,-120,0,1,0,3,0
0,1708,1628,80,0,1,0,3,1
1,1724,1729,-5,0,1,0,3,1
1,1729,1317,412,0,1,0,3,1
0,1740,1599,141,0,1,0,3,1
1,1730,1905,-175,0,1,0,3,0
1,1733,1314,419,0,1,0,3,1
1,1758,1894,-136,0,1,0,3,1
0,1740,1744,-4,0,1,0,3,0
0,1743,1302,441,0,1,0,3,1
1,1754,1574,180,0,1,0,3,1
1,1731,1673,58,0,1,0,3,0
1,1735,1296,439,0,1,0,3,1
1,1762,1796,-34,0,1,0,3,1
0,1765,1288,477,0,1,0,3,1
0,1736,1731,5,0,1,0,3,0
0,1761,1714,47,0,1,0,3,1
0,1731,1739,-8,0,1,0,3,0
0,1715,1895,-180,0,1,0,3,0
0,1698,1865,-167,0,1,0,3,0
1,1651,1264,387,0,1,0,3,0
0,1640,1873,-233,0,1,0,3,0
0,1656,1465,191,0,1,0,3,1
0,1688,1712,-24,0,1,0,3,1
0,1681,1249,432,0,1,0,3,1
1,1649,1541,108,0,1,0,3,0
0,1610,1586,24,0,1,0,3,0
0,1664,1809,-145,0,1,0,3,1
1,1704,1645,59,0,1,0,3,1
1,1676,1806,-130,0,1,0,3,0
1,1644,1711,-67,0,1,0,3,0
1,1633,1951,-318,0,1,0,3,0
1,1648,1391,257,0,1,0,3,1
0,1681,1569,112,0,1,0,5,1
1,1706,1541,165,0,1,0,3,1
1,1664,1645,19,0,1,0,3,0
1,1619,1637,-18,0,1,0,3,0
0,1721,1577,144,0,1,0,3,1
1,1665,1881,-216,0,1,0,3,0
0,1513,1297,216,0,1,0,3,0
0,1591,1553,38,0,1,0,3,1
0,1631,1442,189,0,1,0,3,1
1,1648,1326,322,0,1,0,3,1
0,1626,1898,-272,0,1,0,3,0
1,1604,1858,-254,0,1,0,3,0
1,1656,1658,-2,0,1,0,3,1
0,1636,1875,-239,0,1,0,3,0
0,1671,1602,69,0,1,0,3,1
0,1805,1664,141,0,1,0,3,1
1,1678,1769,-91,0,1,0,3,0
1,1708,1657,51,0,1,0,3,1
0,1744,1790,-46,0,1,0,3,1
0,1720,1784,-64,0,1,0,3,0
0,1690,1663,27,0,1,0,3,0
1,1703,1498,205,0,1,0,3,1
1,1685,1793,-108,0,1,0,3,0
1,1676,1923,-247,0,1,0,3,0
1,1699,1693,6,0,1,0,3,1
0,1689,1911,-222,0,1,0,3,0
1,1716,1775,-59,0,1,0,3,1
0,1736,1690,46,0,1,0,3,1
0,1752,1679,73,0,1,0,3,1
1,1768,1685,83,0,1,0,3,1
1,1785,1724,61,0,1,0,3,1
0,1802,1748,54,0,1,0,3,1
0,1807,1446,361,0,1,0,3,1
0,1820,1697,123,0,1,0,3,1
1,1797,1718,79,0,1,0,3,0
0,1786,1939,-153,0,1,0,3,0
0,1799,1675,124,0,1,0,3,1
1,1782,1761,21,0,1,0,3,0
1,1776,2080,-304,0,1,0,3,0
1,1780,1369,411,0,1,0,3,1
1,1792,1644,148,0,1,0,3,1
0,1812,1789,23,0,1,0,3,1
0,1803,2033,-230,0,1,0,3,0
1,1823,1817,6,0,1,0,3,1
0,1837,1725,112,0,1,0,3,1
0,1858,1899,-41,0,1,0,3,1
1,1857,2441,-584,0,1,0,3,0
1,1835,1778,57,0,1,0,3,1
0,1849,1767,82,0,1,0,3,1
1,1836,1989,-153,0,1,0,3,0
1,1850,1764,86,0,1,0,3,1
1,1854,1488,366,0,1,0,3,1
0,1849,2186,-337,0,1,0,3,0
1,1852,1565,287,0,1,0,3,1
0,1825,1814,11,1,0,0,3,0
0,1842,1709,133,0,1,0,3,1
0,1854,1689,165,0,1,0,3,1
0,1868,1698,170,0,1,0,3,1
0,1883,1742,141,0,1,0,3,1
1,1898,1768,130,0,1,0,3,1
0,1881,1980,-99,0,1,0,3,0
1,1867,1987,-120,0,1,0,3,0
1,1843,1839,4,1,0,0,3,0
1,1860,1785,75,0,1,0,3,1
0,1840,1869,-29,1,0,0,3,0
0,1824,1905,-81,0,1,0,3,0
0,1833,1606,227,0,1,0,3,1
1,1818,1938,-120,0,1,0,3,0
0,1836,1767,69,0,1,0,3,1
1,1804,1594,210,0,1,0,3,0
0,1811,1542,269,0,1,0,3,1
1,1820,1592,228,0,1,0,3,1
0,1834,1722,112,0,1,0,3,1
0,1822,1985,-163,0,1,0,3,0
1,1811,1987,-176,0,1,0,3,0
0,1833,1875,-42,0,1,0,3,1
0,1854,1870,-16,0,1,0,3,1
1,1867,1734,133,0,1,0,3,1
1,1842,1761,81,0,1,0,3,0
1,1842,2420,-578,0,1,0,3,0
0,1862,1881,-19,0,1,0,3,1
0,1871,1670,201,0,1,0,3,1
0,1854,1875,-21,0,1,0,3,0
1,1862,1635,227,0,1,0,3,1
1,1842,1788,54,0,1,0,3,0
1,1859,1870,-11,0,1,0,3,1
0,1874,1858,16,0,1,0,3,1
0,1885,1798,87,0,1,0,3,1
0,1871,1898,-27,0,1,0,3,0
1,1858,1908,-50,0,1,0,3,0
0,1847,1946,-99,0,1,0,3,0
0,1847,2420,-573,0,1,0,3,0
0,1857,1712,145,1,0,0,3,1
0,1874,1889,-15,0,1,0,3,1
1,1881,1665,216,1,0,0,3,1
1,1896,1846,50,0,1,0,3,1
1,1900,1555,345,1,0,0,3,1
0,1900,1555,345,1,0,0,3,1
0,1911,1737,174,0,1,0,3,1
1,1921,1714,207,0,1,0,3,1
1,1935,1818,117,0,1,0,3,1
1,1916,1968,-52,0,1,0,3,0
1,1923,1634,289,1,0,0,3,1
0,1906,1999,-93,0,1,0,3,0
1,1880,1816,64,0,1,0,3,0
0,1896,1815,81,0,1,0,3,1
1,1878,1948,-70,0,1,0,3,0
0,1901,1916,-15,0,1,0,3,1
0,1910,1624,286,1,0,0,3,1
0,1888,1859,29,0,1,0,3,0
1,1904,1842,62,0,1,0,3,1
0,1881,1854,27,0,1,0,3,0
0,1860,1852,8,0,1,0,3,0
0,1875,1842,33,0,1,0,3,1
0,1891,1796,95,1,0,0,3,1
1,1904,1760,144,0,1,0,3,1
1,1920,1820,100,0,1,0,3,1
0,1896,1895,1,0,1,0,3,0
1,1874,1847,27,0,1,0,3,0
0,1889,1797,92,0,1,0,3,1
0,1871,1890,-19,0,1,0,3,0
1,1856,1904,-48,0,1,0,3,0
0,1838,1821,17,0,1,0,3,0
1,1837,2538,-701,0,1,0,3,0
1,1828,2021,-193,0,1,0,3,0
0,1844,1834,10,0,1,0,3,1
0,1862,1903,-41,0,1,0,3,1
1,1865,1453,412,0,1,0,3,1
1,1884,1902,-18,0,1,0,3,1
1,1901,1901,0,0,1,0,3,1
1,1884,1930,-46,0,1,0,3,0
1,1895,1805,90,0,1,0,3,1
0,1906,1789,117,0,1,0,3,1
0,1917,1830,87,0,1,0,3,1
1,1928,1848,80,0,1,0,3,1
1,1938,1848,90,0,1,0,3,1
1,1943,1684,259,0,1,0,3,1
1,1955,1898,57,0,1,0,3,1
0,1965,1856,109,0,1,0,3,1
0,1975,1864,111,0,0,1,1,1
1,1984,1849,135,0,0,1,1,1
1,1994,1886,108,0,0,1,1,1
1,2001,1806,195,0,0,1,1,1
0,2007,1779,228,0,0,1,1,1
0,2009,1815,194,0,0,1,1,1
1,1989,1814,175,0,1,0,3,0
1,1996,1805,191,0,0,1,1,1
1,2007,1928,79,0,1,0,3,1
0,2009,1539,470,0,1,0,3,1
0,1994,1973,21,1,0,0,2,0
0,1999,1739,260,1,0,0,3,1
1,1985,1993,-8,1,0,0,2,0
1,1991,1741,250,1,0,0,3,1
1,1974,1888,86,1,0,0,3,0
0,1966,2130,-164,0,1,0,3,0
0,1973,1765,208,1,0,0,3,1
0,1983,1887,96,1,0,0,3,1
1,1989,1753,236,1,0,0,3,1
0,1998,1872,126,0,0,1,1,1
0,1981,1893,88,0,1,0,3,0
0,1987,1765,222,0,1,0,3,1
1,1995,1824,171,0,0,1,1,1
1,2005,1873,132,0,1,0,3,1
1,2020,2029,-9,0,1,0,3,1
0,2031,1960,71,0,1,0,3,1
0,2018,2044,-26,0,1,0,3,0
1,2029,1961,68,0,1,0,3,1
1,2017,2082,-65,0,1,0,3,0
1,2030,2001,29,0,1,0,3,1
0,2040,1905,135,0,0,1,1,1
0,2027,2068,-41,0,1,0,3,0
1,2032,1734,298,0,1,0,3,1
1,2018,2048,-30,0,1,0,3,0
1,2010,2260,-250,0,1,0,14,0
1,2027,1966,61,0,1,0,3,1
1,2015,2142,-127,0,1,0,3,0
0,2021,1722,299,0,1,0,3,1
0,2030,1804,226,1,0,0,3,1
1,2038,1804,234,1,0,0,3,1
1,2028,2235,-207,0,1,0,3,0
1,2015,2012,3,0,1,0,3,0
1,1990,1903,87,0,1,0,3,0
1,1980,2176,-196,0,1,0,3,0
0,1985,1603,382,0,1,0,3,1
1,1989,1515,474,1,0,0,3,1
0,2006,1843,163,0,1,0,3,1
1,2012,1614,398,0,1,0,3,1
1,2030,1895,135,1,0,0,3,1
0,2047,1889,158,0,1,0,3,1
1,2004,1811,193,1,0,0,3,0
1,2020,1845,175,0,1,0,3,1
0,2033,1831,202,1,0,0,3,1
0,2040,1665,375,1,0,0,3,1
1,2046,1660,386,1,0,0,3,1
0,2049,1487,562,1,0,0,3,1
0,2071,1976,95,0,1,0,3,1
1,2098,2048,50,1,0,0,3,1
0,2118,2011,107,1,0,0,3,1
1,2129,1866,263,1,0,0,3,1
1,2123,2280,-157,0,0,1,1,0
0,2135,1921,214,0,1,0,3,1
0,2123,2361,-238,0,1,0,14,0
0,2131,1817,314,0,0,1,1,1
0,2103,2090,13,0,0,1,1,0
1,2080,2123,-43,0,0,1,1,0
0,2060,2129,-69,0,0,1,1,0
1,2044,2150,-106,0,0,1,1,0
1,2020,1980,40,0,0,1,1,0
0,2000,1999,1,0,0,1,1,0
1,1975,1851,124,0,0,1,1,0
0,2003,2071,-68,0,1,0,2,1
1,2028,2034,-6,0,1,0,2,1
1,2048,1989,59,0,1,0,2,1
0,2020,1948,72,1,0,0,3,0
1,2015,2385,-370,0,1,0,14,0
0,2026,1818,208,1,0,0,3,1
1,2068,2409,-341,1,0,0,3,1
0,2076,1770,306,1,0,0,3,1
1,2083,1759,324,1,0,0,3,1
0,2097,1919,178,1,0,0,3,1
1,2109,1909,200,1,0,0,3,1
1,2116,1814,302,1,0,0,3,1
0,2116,2291,-175,1,0,0,3,1
1,2077,1945,132,1,0,0,3,0
1,2085,1738,347,1,0,0,3,1
0,2048,2001,47,1,0,0,3,0
0,2010,1928,82,1,0,0,3,0
0,1968,1810,158,1,0,0,3,0
0,2010,1937,73,0,1,0,3,1
1,2021,1673,348,1,0,0,3,1
0,2031,1673,358,1,0,0,3,1
0,2047,1777,270,0,1,0,3,1
1,1966,1907,59,0,1,0,3,0
1,1915,1841,74,0,1,0,3,0
1,1870,1816,54,0,1,0,3,0
1,1904,1874,30,1,0,0,3,1
0,1911,1510,401,1,0,0,3,1
0,1937,1846,91,1,0,0,3,1
0,1955,1740,215,1,0,0,3,1
1,1978,1828,150,0,1,0,3,1
1,1910,1573,337,1,0,0,3,0
1,1895,2161,-266,0,1,0,3,0
0,1873,2085,-212,1,0,0,3,0
0,1864,2048,-184,1,0,0,3,0
0,1905,1926,-21,1,0,0,3,1
0,1927,1786,141,1,0,0,3,1
1,1944,1767,177,1,0,0,3,1
1,1917,1970,-53,1,0,0,3,0
1,1903,2115,-212,1,0,0,3,0
0,1876,1880,-4,0,0,1,3,0
1,1900,1872,28,0,0,1,3,1
1,1926,1948,-22,0,0,1,3,1
0,1913,2073,-160,0,0,1,3,0
0,1942,2075,-133,0,0,1,3,1
0,1927,2045,-118,1,0,0,3,0
1,1915,2032,-117,1,0,0,3,0
0,1933,1918,15,0,0,1,3,1
1,1928,2257,-329,0,0,1,3,0
0,1940,1824,116,0,0,1,3,1
0,1957,1957,0,1,0,0,3,1
0,1963,1906,57,0,1,0,3,1
0,1968,1658,310,1,0,0,3,1
1,1953,1969,-16,1,0,0,3,0
1,1929,1671,258,1,0,0,3,0
1,1948,2045,-97,0,0,1,3,1
0,1958,1848,110,0,0,1,3,1
0,1965,1747,218,1,0,0,3,1
0,1977,1922,55,1,0,0,3,1
1,1958,1817,141,1,0,0,3,0
1,1970,1920,50,0,0,1,3,1
1,1980,1899,81,0,0,1,3,1
1,1962,1807,155,1,0,0,3,0
0,1969,1792,177,1,0,0,3,1
1,1975,1773,202,1,0,0,3,1
0,1980,1769,211,1,0,0,3,1
1,1989,1895,94,1,0,0,3,1
1,1996,1862,134,1,0,0,3,1
1,1983,1923,60,1,0,0,3,0
0,1989,1838,151,1,0,0,3,1
0,1997,1898,99,1,0,0,3,1
1,2002,1779,223,1,0,0,3,1
1,2011,1972,39,1,0,0,5,1
0,2016,1841,175,1,0,0,3,1
1,2022,1856,166,1,0,0,3,1
1,2010,1922,88,0,0,1,3,0
1,2002,2090,-88,0,0,1,3,0
1,1992,1985,7,1,0,0,5,0
0,2001,1977,24,1,0,0,5,1
1,2008,1935,73,1,0,0,3,1
0,1998,1970,28,1,0,0,5,0
0,2005,1940,65,1,0,0,3,1
1,2005,1716,289,1,0,0,3,1
0,2007,1615,392,1,0,0,3,1
0,2005,1653,352,1,0,0,3,1
1,2007,1842,165,1,0,0,3,1
0,1993,1973,20,1,0,0,5,0
0,1976,1852,124,1,0,0,3,0
0,1988,1970,18,1,0,0,7,1
1,1974,1951,23,0,1,0,3,0
1,1980,1750,230,1,0,0,7,1
1,1967,1965,2,1,0,0,7,0
0,1977,1902,75,1,0,0,3,1
0,1988,1955,33,1,0,0,3,1
0,1990,1555,435,1,0,0,3,1
1,2000,1934,66,1,0,0,5,1
1,2002,1565,437,1,0,0,3,1
